t0,t1,t2,t3,t4,t5
-0.65428495,-0.7432298,-0.9970692,-0.9959679,-0.9571173,0.493692
-0.6195924,-0.72330123,-0.9982013,-0.9956541,-0.9343981,0.6152017
-0.7196583,-0.6533285,-0.99613476,-0.9943449,-0.943532,0.70846885
-0.6500707,-0.76244247,-0.9974611,-0.99713856,-0.95329845,0.6697443
-0.696541,-0.8031157,-0.99782777,-0.99722934,-0.97809905,0.7613296
-0.5259515,-0.6738813,-0.9920518,-0.99028367,-0.9193239,0.53389966
-0.61557734,-0.71774095,-0.9963937,-0.99649,-0.9589225,0.5299108
-0.79579854,-0.854089,-0.99812126,-0.998202,-0.95502806,0.58492225
-0.74680674,-0.7601568,-0.99806565,-0.9965765,-0.9578466,0.45628884
-0.659216,-0.78326017,-0.9987998,-0.9971021,-0.95678604,0.6580355
-0.59144855,-0.67944336,-0.99472094,-0.99100417,-0.9007887,0.6718862
-0.618658,-0.7677832,-0.9951417,-0.99236095,-0.9414004,0.47290042
-0.759336,-0.9059192,-0.9991366,-0.9993654,-0.9689975,0.5280248
-0.63733333,-0.77161,-0.9925389,-0.9926211,-0.9292003,0.33247948
-0.74063116,-0.7071548,-0.9981957,-0.99726856,-0.9589415,0.7221299
-0.61811113,-0.6762498,-0.99495006,-0.99256575,-0.95134217,0.57025427
