fold,precision,recall,f1,auc,pos_ratio_train
1,0.76,0.6551724137931034,0.7037037037037037,0.9155614500442086,0.26768926274121724
2,0.3888888888888889,0.9655172413793104,0.5544554455445545,0.7966401414677278,0.26768926274121724
3,0.43548387096774194,0.9310344827586207,0.5934065934065934,0.8178603006189212,0.26768926274121724
4,0.5,0.5517241379310345,0.5245901639344263,0.7948717948717948,0.26768926274121724
5,0.47368421052631576,0.6206896551724138,0.5373134328358209,0.7869142351900973,0.26768926274121724
6,0.4153846153846154,0.9310344827586207,0.574468085106383,0.8594164456233422,0.26768926274121724
7,0.4358974358974359,0.5862068965517241,0.5,0.782051282051282,0.26768926274121724
8,0.5208333333333334,0.8620689655172413,0.6493506493506493,0.909814323607427,0.26768926274121724
9,0.509090909090909,0.9655172413793104,0.6666666666666666,0.8996865203761756,0.2675568743818002
10,0.43548387096774194,0.9310344827586207,0.5934065934065934,0.8347514554411106,0.2675568743818002
11,0.3968253968253968,0.8928571428571429,0.5494505494505495,0.7875457875457875,0.26805143422354105
12,0.6046511627906976,0.9285714285714286,0.7323943661971831,0.9409340659340659,0.26805143422354105
13,0.5,0.8928571428571429,0.6410256410256411,0.8946886446886446,0.26805143422354105
14,0.6764705882352942,0.8214285714285714,0.7419354838709677,0.902014652014652,0.26805143422354105
15,0.7307692307692307,0.6785714285714286,0.7037037037037037,0.8534798534798536,0.26805143422354105
16,0.4883720930232558,0.75,0.5915492957746479,0.7916666666666667,0.26805143422354105
17,0.43333333333333335,0.4642857142857143,0.4482758620689655,0.7458791208791208,0.26805143422354105
18,0.4090909090909091,0.9642857142857143,0.574468085106383,0.8337912087912087,0.26805143422354105
19,0.43636363636363634,0.8571428571428571,0.5783132530120482,0.8205128205128205,0.26805143422354105
20,0.3968253968253968,0.8928571428571429,0.5494505494505495,0.8310439560439561,0.26805143422354105
